#2,4,8,16,32 iv run:
#key_index key_hex budget success seconds
38 f90fdfef64367fc0e97743608b5b85f0da20d96acb33ed72a06d654dfd94315e 4 1 skip-monotone
38 f90fdfef64367fc0e97743608b5b85f0da20d96acb33ed72a06d654dfd94315e 8 1 skip-monotone
38 f90fdfef64367fc0e97743608b5b85f0da20d96acb33ed72a06d654dfd94315e 16 1 skip-monotone
38 f90fdfef64367fc0e97743608b5b85f0da20d96acb33ed72a06d654dfd94315e 32 1 skip-monotone
39 9de6aadc2780e859dabd6d7c6cec2ed5b8aee5da5549bc29cb3a5bca9373e163 2 0 9.081
39 9de6aadc2780e859dabd6d7c6cec2ed5b8aee5da5549bc29cb3a5bca9373e163 4 0 9.053
39 9de6aadc2780e859dabd6d7c6cec2ed5b8aee5da5549bc29cb3a5bca9373e163 8 1 22.189
39 9de6aadc2780e859dabd6d7c6cec2ed5b8aee5da5549bc29cb3a5bca9373e163 16 1 skip-monotone
39 9de6aadc2780e859dabd6d7c6cec2ed5b8aee5da5549bc29cb3a5bca9373e163 32 1 skip-monotone
40 983cb9cb10772ea5ba3907a93563cada744cc3102da996e1e4d3057034bf6e73 2 0 10.104
40 983cb9cb10772ea5ba3907a93563cada744cc3102da996e1e4d3057034bf6e73 4 0 10.107
40 983cb9cb10772ea5ba3907a93563cada744cc3102da996e1e4d3057034bf6e73 8 1 22.152
40 983cb9cb10772ea5ba3907a93563cada744cc3102da996e1e4d3057034bf6e73 16 1 skip-monotone
40 983cb9cb10772ea5ba3907a93563cada744cc3102da996e1e4d3057034bf6e73 32 1 skip-monotone
41 c46da33499672a53005b6015e08946b807c6b4242989789ad4d9b4d3bd86fec2 2 0 11.109
41 c46da33499672a53005b6015e08946b807c6b4242989789ad4d9b4d3bd86fec2 4 1 18.157
41 c46da33499672a53005b6015e08946b807c6b4242989789ad4d9b4d3bd86fec2 8 1 skip-monotone
41 c46da33499672a53005b6015e08946b807c6b4242989789ad4d9b4d3bd86fec2 16 1 skip-monotone
41 c46da33499672a53005b6015e08946b807c6b4242989789ad4d9b4d3bd86fec2 32 1 skip-monotone
42 f8cd92f87fb0c38a9e6d443c047c298be3a2d9bf12c81af0de7b178e3cee1664 2 0 14.104
42 f8cd92f87fb0c38a9e6d443c047c298be3a2d9bf12c81af0de7b178e3cee1664 4 0 17.155
42 f8cd92f87fb0c38a9e6d443c047c298be3a2d9bf12c81af0de7b178e3cee1664 8 1 27.227
42 f8cd92f87fb0c38a9e6d443c047c298be3a2d9bf12c81af0de7b178e3cee1664 16 1 skip-monotone
42 f8cd92f87fb0c38a9e6d443c047c298be3a2d9bf12c81af0de7b178e3cee1664 32 1 skip-monotone
43 7fcafbbeeb54a10b89e23b5af7311a90ab58cbc7fdee4d7fb953b6255df0cd33 2 0 10.059
43 7fcafbbeeb54a10b89e23b5af7311a90ab58cbc7fdee4d7fb953b6255df0cd33 4 0 11.087
43 7fcafbbeeb54a10b89e23b5af7311a90ab58cbc7fdee4d7fb953b6255df0cd33 8 1 24.196
43 7fcafbbeeb54a10b89e23b5af7311a90ab58cbc7fdee4d7fb953b6255df0cd33 16 1 skip-monotone
43 7fcafbbeeb54a10b89e23b5af7311a90ab58cbc7fdee4d7fb953b6255df0cd33 32 1 skip-monotone
44 72bd74c8be3527f766bfb65f29e155c7f17327e988fd69dcce1aa9350c9d4cfc 2 0 9.090
44 72bd74c8be3527f766bfb65f29e155c7f17327e988fd69dcce1aa9350c9d4cfc 4 0 10.086
44 72bd74c8be3527f766bfb65f29e155c7f17327e988fd69dcce1aa9350c9d4cfc 8 1 24.175
44 72bd74c8be3527f766bfb65f29e155c7f17327e988fd69dcce1aa9350c9d4cfc 16 1 skip-monotone
44 72bd74c8be3527f766bfb65f29e155c7f17327e988fd69dcce1aa9350c9d4cfc 32 1 skip-monotone
45 f1dae53ced928cb1e2569bb7fc8c7d6609769dc3dbd93b24ae7624b639101360 2 0 9.098
45 f1dae53ced928cb1e2569bb7fc8c7d6609769dc3dbd93b24ae7624b639101360 4 0 11.109
45 f1dae53ced928cb1e2569bb7fc8c7d6609769dc3dbd93b24ae7624b639101360 8 1 19.182
45 f1dae53ced928cb1e2569bb7fc8c7d6609769dc3dbd93b24ae7624b639101360 16 1 skip-monotone
45 f1dae53ced928cb1e2569bb7fc8c7d6609769dc3dbd93b24ae7624b639101360 32 1 skip-monotone
46 946496f1833b4a96ca6a60cfb63f2168e44241bd7d12ab80fa933b7a77e5c19e 2 1 18.169
46 946496f1833b4a96ca6a60cfb63f2168e44241bd7d12ab80fa933b7a77e5c19e 4 1 skip-monotone
46 946496f1833b4a96ca6a60cfb63f2168e44241bd7d12ab80fa933b7a77e5c19e 8 1 skip-monotone
46 946496f1833b4a96ca6a60cfb63f2168e44241bd7d12ab80fa933b7a77e5c19e 16 1 skip-monotone
46 946496f1833b4a96ca6a60cfb63f2168e44241bd7d12ab80fa933b7a77e5c19e 32 1 skip-monotone
47 67982443544136419794d1dab5afa9d4b99ac5bd7f30c85533cc21bb9d20b8b4 2 0 10.069
47 67982443544136419794d1dab5afa9d4b99ac5bd7f30c85533cc21bb9d20b8b4 4 0 10.080
47 67982443544136419794d1dab5afa9d4b99ac5bd7f30c85533cc21bb9d20b8b4 8 1 25.170
47 67982443544136419794d1dab5afa9d4b99ac5bd7f30c85533cc21bb9d20b8b4 16 1 skip-monotone
47 67982443544136419794d1dab5afa9d4b99ac5bd7f30c85533cc21bb9d20b8b4 32 1 skip-monotone
48 6dcd976f486900688545204dea66700e728f97baa9e552d8e8bf0e5e0b946d81 2 1 18.168
48 6dcd976f486900688545204dea66700e728f97baa9e552d8e8bf0e5e0b946d81 4 1 skip-monotone
48 6dcd976f486900688545204dea66700e728f97baa9e552d8e8bf0e5e0b946d81 8 1 skip-monotone
48 6dcd976f486900688545204dea66700e728f97baa9e552d8e8bf0e5e0b946d81 16 1 skip-monotone
48 6dcd976f486900688545204dea66700e728f97baa9e552d8e8bf0e5e0b946d81 32 1 skip-monotone
49 4524f9a03f2865cb566856db9e11e4f6701e77220a51048dd0792155a7fed6f8 2 0 10.095
49 4524f9a03f2865cb566856db9e11e4f6701e77220a51048dd0792155a7fed6f8 4 0 10.095
49 4524f9a03f2865cb566856db9e11e4f6701e77220a51048dd0792155a7fed6f8 8 1 27.192
